City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
atuona,7,PF,1567728909.0,68.0,-9.8,-139.03,79.33,6.49
kapaa,40,US,1567729001.0,59.0,22.08,-159.32,89.6,16.11
vaini,100,IN,1567729001.0,93.0,15.34,74.49,76.63,8.08
teahupoo,75,PF,1567729002.0,54.0,-17.83,-149.27,82.4,9.17
solnechnyy,100,RU,1567729002.0,89.0,50.72,136.64,61.87,1.99
bluff,0,AU,1567729002.0,15.0,-23.58,149.07,78.61,6.29
punta arenas,0,CL,1567729003.0,86.0,-53.16,-70.91,37.4,5.82
butaritari,60,KI,1567728909.0,72.0,3.07,172.79,84.73,12.5
meulaboh,43,ID,1567729003.0,82.0,4.14,96.13,81.85,8.57
kasane,0,BW,1567729004.0,33.0,-17.8,25.16,63.67,5.64
san patricio,100,PY,1567729004.0,90.0,-26.98,-56.83,56.65,5.57
pisco,0,PE,1567729004.0,30.0,-13.71,-76.2,71.6,18.34
mataura,88,NZ,1567729004.0,72.0,-46.19,168.86,48.0,13.0
mehamn,100,NO,1567729005.0,87.0,71.03,27.85,47.47,14.36
ambilobe,60,MG,1567729005.0,86.0,-13.19,49.05,67.27,3.69
hobart,75,AU,1567728764.0,81.0,-42.88,147.33,51.01,1.12
airai,93,TL,1567729005.0,48.0,-8.93,125.41,79.15,2.55
sao joao da barra,100,BR,1567729005.0,81.0,-21.64,-41.05,65.83,12.66
ponta do sol,73,BR,1567729006.0,77.0,-20.63,-46.0,68.17,11.95
faanui,45,PF,1567729006.0,80.0,-16.48,-151.75,75.73,23.22
merauke,100,ID,1567729006.0,80.0,-8.49,140.4,73.75,16.22
jizan,0,SA,1567729006.0,75.0,16.89,42.56,89.6,5.28
geraldton,90,CA,1567729007.0,100.0,49.72,-86.95,50.0,4.7
lohardaga,75,IN,1567729007.0,94.0,23.43,84.68,77.0,1.88
busselton,12,AU,1567729007.0,66.0,-33.64,115.35,44.01,12.24
rikitea,100,PF,1567729007.0,77.0,-23.12,-134.97,68.53,18.95
south lake tahoe,40,US,1567729008.0,31.0,38.93,-119.98,84.2,13.87
limerick,75,IE,1567729008.0,76.0,52.66,-8.63,57.2,23.04
nome,1,US,1567729008.0,44.0,30.04,-94.42,93.2,5.06
sitka,0,US,1567729008.0,30.0,37.17,-99.65,91.99,8.01
prince rupert,1,CA,1567729009.0,82.0,54.32,-130.32,59.0,5.82
point fortin,20,TT,1567729009.0,74.0,10.16,-61.68,84.2,5.82
mitsamiouli,4,KM,1567729009.0,72.0,-11.38,43.28,76.99,6.11
ushuaia,20,AR,1567728919.0,69.0,-54.81,-68.31,37.4,11.41
hermanus,0,ZA,1567729009.0,81.0,-34.42,19.24,55.99,13.0
bredasdorp,5,ZA,1567729010.0,71.0,-34.53,20.04,55.99,13.87
shymkent,90,KZ,1567729010.0,51.0,42.31,69.59,59.0,2.24
georgetown,20,GY,1567728848.0,70.0,6.8,-58.16,84.2,9.17
lorengau,91,PG,1567729010.0,83.0,-2.02,147.27,79.87,9.6
jamestown,95,AU,1567729010.0,85.0,-33.21,138.6,49.09,21.65
tuktoyaktuk,40,CA,1567729011.0,76.0,69.44,-133.03,50.0,4.7
ovalle,100,CL,1567728827.0,81.0,-30.6,-71.2,48.55,1.52
lata,95,IN,1567728761.0,93.0,30.78,78.62,45.67,1.28
mahibadhoo,71,MV,1567729011.0,76.0,3.78,72.97,83.11,8.86
hay river,75,CA,1567729011.0,76.0,60.82,-115.79,57.2,8.05
albany,1,US,1567729007.0,72.0,42.65,-73.75,63.0,3.36
ahipara,81,NZ,1567729012.0,100.0,-35.17,173.16,57.99,33.38
vangaindrano,0,MG,1567729012.0,95.0,-23.35,47.6,62.95,2.55
kaitangata,100,NZ,1567729012.0,69.0,-46.28,169.85,46.99,11.01
morondava,0,MG,1567729012.0,80.0,-20.3,44.28,71.41,14.32
guerrero negro,0,MX,1567729012.0,77.0,27.97,-114.04,75.19,9.69
tiksi,100,RU,1567729013.0,77.0,71.64,128.87,40.63,6.49
candolim,75,IN,1567728732.0,94.0,15.52,73.76,78.8,13.87
xining,95,CN,1567729013.0,82.0,36.62,101.77,51.79,1.86
inhambane,0,MZ,1567729013.0,96.0,-23.87,35.38,63.31,4.0
port alfred,69,ZA,1567729013.0,70.0,-33.59,26.89,55.99,3.0
kabalo,35,CD,1567729014.0,45.0,-6.05,26.92,76.45,1.14
kruisfontein,2,ZA,1567729014.0,85.0,-34.0,24.73,46.93,8.75
castro,90,CL,1567729014.0,81.0,-42.48,-73.76,44.6,3.53
mar del plata,95,AR,1567729015.0,75.0,-46.43,-67.52,39.19,11.72
vestmannaeyjar,93,IS,1567729015.0,86.0,63.44,-20.27,49.81,3.31
pascagoula,1,US,1567729015.0,70.0,30.37,-88.56,95.0,5.64
mookane,32,BW,1567729015.0,29.0,-23.68,26.66,62.59,8.55
clyde river,75,CA,1567729015.0,86.0,70.47,-68.59,41.0,1.97
port elizabeth,90,US,1567729016.0,78.0,39.31,-74.98,73.4,5.82
port-gentil,75,GA,1567729016.0,88.0,-0.72,8.78,77.0,12.75
caravelas,0,BR,1567729016.0,78.0,-17.73,-39.27,74.83,9.04
dingle,77,PH,1567729016.0,80.0,11.0,122.67,81.31,7.85
touros,20,BR,1567728903.0,83.0,-5.2,-35.46,77.0,6.93
hilo,90,US,1567729017.0,62.0,19.71,-155.08,86.0,9.17
puerto ayora,20,EC,1567729017.0,69.0,-0.74,-90.35,75.2,21.92
tasiilaq,31,GL,1567729017.0,65.0,65.61,-37.64,44.6,9.17
richards bay,100,ZA,1567729017.0,70.0,-28.77,32.06,66.37,19.86
chiang klang,40,TH,1567729018.0,94.0,19.29,100.86,77.0,1.74
cape town,0,ZA,1567728896.0,71.0,-33.93,18.42,60.01,8.05
olinda,20,AU,1567729018.0,54.0,-37.84,145.39,57.99,11.41
shalya,8,RU,1567729018.0,98.0,57.25,58.73,40.45,4.07
puerto maldonado,0,PE,1567729018.0,334.0,-12.59,-69.19,33.8,2.51
sioux lookout,90,CA,1567729018.0,93.0,50.1,-91.92,57.2,3.36
ewa beach,20,US,1567728873.0,49.0,21.32,-158.01,91.4,11.41
saskylakh,100,RU,1567729019.0,96.0,71.97,114.09,43.87,11.21
new norfolk,75,AU,1567729019.0,81.0,-42.78,147.06,51.01,1.12
dhidhdhoo,97,MV,1567729019.0,80.0,6.88,73.1,82.39,12.73
codrington,0,AU,1567729019.0,82.0,-28.95,153.24,75.99,5.82
kestel,0,TR,1567728980.0,82.0,40.2,29.21,64.4,10.09
calafell,40,ES,1567729020.0,45.0,41.2,1.57,71.01,10.29
torbay,90,CA,1567729020.0,88.0,47.66,-52.73,68.0,9.17
hasaki,40,JP,1567729020.0,83.0,35.73,140.83,80.6,2.24
bowen,38,AU,1567729021.0,50.0,-20.01,148.25,80.01,6.93
norman wells,75,CA,1567729021.0,71.0,65.28,-126.83,57.2,13.87
san cristobal,24,HN,1567729022.0,61.0,14.68,-86.92,76.63,7.14
mapiripan,78,CO,1567729022.0,89.0,2.89,-72.13,76.99,3.11
east london,85,ZA,1567728773.0,80.0,-33.02,27.91,51.61,3.67
hofn,94,IS,1567729023.0,94.0,64.25,-15.21,32.53,1.92
barrow,100,AR,1567729024.0,69.0,-38.31,-60.23,39.37,8.03
yining,0,CN,1567729024.0,79.0,29.04,114.56,75.01,1.68
lebu,40,ET,1567729024.0,93.0,8.96,38.73,53.6,3.36
pokhara,100,NP,1567729024.0,96.0,28.21,83.99,56.11,1.68
pevek,38,RU,1567729024.0,75.0,69.7,170.27,42.61,1.21
moranbah,0,AU,1567729025.0,14.0,-22.0,148.04,81.13,14.5
nowy dwor gdanski,0,PL,1567729025.0,76.0,54.21,19.12,55.99,11.41
alyangula,27,AU,1567729025.0,69.0,-13.85,136.42,75.2,10.8
yarada,90,IN,1567729025.0,94.0,17.65,83.27,80.6,10.29
kabinda,66,CD,1567729026.0,51.0,-6.14,24.49,77.17,3.0
linkoping,0,SE,1567729026.0,87.0,58.41,15.62,51.8,5.82
portland,40,US,1567729026.0,72.0,43.66,-70.25,62.6,4.7
rio gallegos,0,AR,1567729006.0,65.0,-51.62,-69.22,41.0,5.82
morden,1,CA,1567728888.0,53.0,49.19,-98.1,73.4,6.93
longyearbyen,75,NO,1567729027.0,74.0,78.22,15.63,37.4,13.87
tangermunde,3,DE,1567729027.0,75.0,52.54,11.98,53.01,7.7
ribeira grande,74,PT,1567729027.0,80.0,38.52,-28.7,71.05,14.45
mahebourg,20,MU,1567729027.0,88.0,-20.41,57.7,68.0,4.85
gat,20,SN,1567729027.0,88.0,14.69,-16.54,82.4,1.12
sakaiminato,75,JP,1567729028.0,70.0,35.55,133.23,84.2,6.93
esperance,33,AU,1567729028.0,86.0,-33.86,121.89,39.2,8.05
la primavera,0,AR,1567729028.0,40.0,-32.92,-68.67,51.8,2.24
sorland,100,NO,1567729028.0,78.0,67.67,12.69,50.17,15.41
upernavik,0,GL,1567729028.0,76.0,72.79,-56.15,39.73,5.5
antofagasta,75,CL,1567728912.0,71.0,-23.65,-70.4,57.2,11.41
hami,31,CN,1567729029.0,36.0,42.84,93.51,68.89,12.03
garh maharaja,7,PK,1567729029.0,34.0,30.83,71.9,94.45,13.62
fort nelson,40,CA,1567729029.0,32.0,58.81,-122.69,69.8,2.24
zarya,75,RU,1567729030.0,77.0,44.89,37.47,68.0,15.66
victoria,75,BN,1567729030.0,94.0,5.28,115.24,80.6,2.24
rumonge,18,BI,1567729031.0,45.0,-3.97,29.44,68.71,5.57
te anau,100,NZ,1567728971.0,90.0,-45.41,167.72,40.27,8.93
auki,59,NG,1567729031.0,90.0,12.18,6.51,74.47,6.42
praia da vitoria,75,PT,1567729031.0,77.0,38.73,-27.07,69.8,18.52
owando,32,CG,1567729031.0,95.0,-0.49,15.91,71.23,3.2
dikson,100,RU,1567729031.0,98.0,73.51,80.55,43.33,11.83
mikhaylovka,95,RU,1567729032.0,83.0,52.96,103.29,48.37,3.76
nabire,33,ID,1567729032.0,73.0,-3.36,135.5,76.63,5.39
tabou,60,CI,1567729032.0,95.0,4.42,-7.36,73.75,2.93
saint-philippe,1,CA,1567729032.0,87.0,45.36,-73.48,66.2,5.95
bang saphan,20,TH,1567729033.0,100.0,11.21,99.51,75.2,6.8
jaciara,28,BR,1567729033.0,24.0,-15.95,-54.98,81.31,2.13
grants,1,US,1567729033.0,12.0,35.15,-107.85,87.8,4.7
buala,69,SB,1567729033.0,78.0,-8.15,159.59,79.69,16.33
santa cruz de tenerife,90,ES,1567729034.0,88.0,28.47,-16.25,70.0,20.8
cabo san lucas,75,MX,1567728770.0,58.0,22.89,-109.91,90.0,12.75
jumla,100,NP,1567729034.0,95.0,29.28,82.18,55.03,1.99
bethel,90,US,1567728999.0,100.0,60.79,-161.76,55.4,27.51
eureka,90,US,1567728765.0,77.0,40.8,-124.16,68.0,9.17
kungurtug,100,RU,1567729035.0,94.0,50.6,97.53,40.99,2.21
sorong,82,ID,1567729035.0,72.0,-0.86,131.25,81.13,8.99
black river,20,JM,1567728909.0,74.0,18.03,-77.85,86.0,8.05
port antonio,20,JM,1567729035.0,66.0,18.18,-76.45,86.0,14.99
hamilton,20,CA,1567728748.0,56.0,43.26,-79.87,68.0,5.82
tottori,75,JP,1567729036.0,78.0,35.5,134.23,86.0,6.93
leningradskiy,72,RU,1567729036.0,85.0,69.38,178.42,43.51,3.15
thompson,90,CA,1567729036.0,54.0,55.74,-97.86,53.6,4.7
pangnirtung,44,CA,1567729036.0,65.0,66.15,-65.72,37.93,2.39
nanortalik,100,GL,1567729036.0,86.0,60.14,-45.24,42.97,3.94
plettenberg bay,0,ZA,1567729037.0,80.0,-34.05,23.37,48.73,4.45
dunedin,100,NZ,1567728930.0,80.0,-45.87,170.5,46.99,21.0
yellowknife,75,CA,1567729037.0,81.0,62.45,-114.38,51.8,9.17
lida,0,BY,1567729037.0,86.0,53.9,25.3,54.31,7.78
rock springs,75,US,1567729037.0,31.0,41.59,-109.2,75.2,17.22
ngawen,87,ID,1567729038.0,79.0,-7.02,111.3,72.31,6.04
avarua,86,CK,1567728916.0,61.0,-21.21,-159.78,78.8,25.28
porto velho,20,BR,1567728839.0,83.0,-8.75,-63.87,78.8,1.12
vanimo,51,PG,1567729039.0,70.0,-2.67,141.3,79.87,1.23
lasa,40,CY,1567729039.0,83.0,34.92,32.53,77.0,4.7
saint george,20,GR,1567729039.0,77.0,39.45,22.34,66.2,1.34
qaanaaq,82,GL,1567729039.0,56.0,77.48,-69.36,29.83,6.49
weihai,100,CN,1567729039.0,42.0,37.5,122.11,78.01,7.0
provideniya,75,RU,1567729040.0,76.0,64.42,-173.23,51.8,2.24
monrovia,75,LR,1567729040.0,94.0,6.33,-10.8,77.0,5.7
thunder bay,90,CA,1567728994.0,100.0,48.41,-89.26,57.0,6.93
camacha,75,PT,1567729040.0,68.0,33.08,-16.33,71.6,13.87
ajaccio,90,FR,1567729040.0,77.0,41.93,8.74,71.6,4.7
westport,1,US,1567728869.0,82.0,41.14,-73.36,69.01,3.47
namie,40,JP,1567729041.0,88.0,37.52,140.86,81.0,3.36
husavik,54,CA,1567729041.0,77.0,50.56,-96.99,68.0,9.6
luderitz,0,NA,1567729041.0,59.0,-26.65,15.16,60.8,13.87
talnakh,75,RU,1567729041.0,93.0,69.49,88.39,50.0,15.66
cherskiy,92,RU,1567729042.0,56.0,68.75,161.3,48.73,6.71
yumen,28,CN,1567729042.0,31.0,40.29,97.04,68.71,5.88
belmonte,0,PT,1567729042.0,51.0,40.36,-7.35,70.0,8.01
coihaique,75,CL,1567728804.0,74.0,-45.58,-72.07,35.6,5.82
nacala,2,MZ,1567729043.0,97.0,-14.56,40.69,65.83,5.41
alpena,1,US,1567729043.0,67.0,45.06,-83.43,61.0,4.7
beringovskiy,59,RU,1567729043.0,66.0,63.05,179.32,52.87,1.77
san quintin,91,PH,1567729044.0,85.0,17.54,120.52,79.69,9.42
alofi,40,NU,1567729044.0,83.0,-19.06,-169.92,80.6,11.41
russell,1,US,1567729044.0,38.0,38.9,-98.86,93.2,12.75
koszalin,12,PL,1567729044.0,58.0,54.19,16.18,60.01,26.31
shingu,40,JP,1567729045.0,78.0,33.72,135.99,82.4,8.05
maymyo,40,MM,1567729045.0,88.0,22.03,96.47,78.8,8.05
katsuura,40,JP,1567729045.0,83.0,33.93,134.5,86.0,11.41
leshukonskoye,100,RU,1567729045.0,93.0,64.9,45.76,48.55,5.44
bougouni,84,ML,1567729045.0,87.0,11.42,-7.49,72.67,1.83
hohhot,0,CN,1567729046.0,58.0,40.81,111.65,59.0,4.47
boyuibe,90,BO,1567729046.0,55.0,-20.43,-63.28,66.2,3.98
chapais,75,CA,1567729046.0,57.0,49.78,-74.86,50.0,6.93
buta,100,CD,1567729046.0,99.0,2.79,24.73,69.43,1.83
atambua,96,ID,1567729046.0,73.0,-9.11,124.89,74.65,8.5
laguna,40,BZ,1567729047.0,70.0,16.17,-88.94,87.8,6.93
palauig,100,PH,1567729047.0,81.0,15.44,119.9,83.29,22.46
vilhena,0,BR,1567729047.0,62.0,-12.74,-60.15,84.2,5.82
chokurdakh,100,RU,1567729047.0,72.0,70.62,147.9,38.11,4.21
ozernovskiy,100,RU,1567729048.0,89.0,51.5,156.52,51.07,8.03
yar-sale,0,RU,1567729048.0,93.0,66.83,70.83,48.01,11.05
lompoc,1,US,1567729048.0,56.0,34.64,-120.46,87.8,5.82
mishkino,0,RU,1567729048.0,81.0,56.22,46.62,51.8,2.24
kargasok,93,RU,1567729049.0,82.0,59.06,80.87,42.79,4.36
chuka,98,KE,1567729049.0,81.0,-0.33,37.65,60.43,3.44
shache,65,CN,1567729049.0,77.0,38.42,77.24,73.0,1.28
eastbourne,0,GB,1567729049.0,76.0,54.52,-1.53,59.0,9.17
kishi,71,NG,1567729050.0,95.0,9.08,3.85,71.95,3.29
ancud,90,CL,1567729027.0,81.0,-41.87,-73.83,44.6,8.57
gobabis,0,NA,1567729050.0,22.0,-22.45,18.97,57.2,6.4
guhagar,100,IN,1567729050.0,84.0,17.48,73.19,81.13,15.57
faaborg,2,DK,1567729051.0,81.0,55.1,10.24,53.6,8.05
sangar,40,RU,1567729051.0,60.0,63.92,127.47,48.55,1.25
arraial do cabo,75,BR,1567729051.0,93.0,-22.97,-42.02,64.4,9.17
marawi,100,PH,1567729051.0,78.0,8.0,124.29,79.0,4.0
saldanha,0,PT,1567729052.0,54.0,41.42,-6.55,59.53,11.81
haines junction,7,CA,1567729052.0,38.0,60.75,-137.51,57.19,4.54
soubre,97,CI,1567729052.0,99.0,5.79,-6.61,71.41,3.22
manyoni,30,TZ,1567729052.0,73.0,-5.75,34.84,61.33,5.88
kloulklubed,75,PW,1567729053.0,83.0,7.04,134.26,82.4,14.99
dalby,0,AU,1567729053.0,11.0,-27.18,151.26,80.6,20.8
vardo,90,US,1567729053.0,60.0,39.62,-77.74,73.0,6.93
barranco,100,BR,1567729053.0,97.0,-20.59,-41.2,62.77,5.86
takoradi,51,GH,1567729054.0,96.0,4.89,-1.75,73.57,4.25
fairbanks,75,US,1567729027.0,51.0,64.84,-147.72,64.99,5.82
the pas,90,CA,1567729054.0,100.0,53.82,-101.24,55.4,3.36
port blair,100,IN,1567729054.0,81.0,11.67,92.75,81.85,23.87
carnarvon,0,ZA,1567729054.0,68.0,-30.97,22.13,46.39,13.31
uyemskiy,20,RU,1567729055.0,93.0,64.47,40.85,51.8,4.47
santa cruz,10,BR,1567728898.0,75.0,-6.22,-36.02,71.77,16.15
kudahuvadhoo,0,MV,1567729055.0,71.0,2.67,72.89,83.83,7.07
khatanga,100,RU,1567729055.0,98.0,71.98,102.47,46.39,4.29
muli,27,CN,1567729056.0,74.0,28.08,109.56,72.31,3.13
lingdong,0,CN,1567729056.0,76.0,28.06,114.24,78.07,1.95
lakheri,72,IN,1567729056.0,80.0,25.67,76.19,82.21,3.29
sao filipe,100,CV,1567729056.0,83.0,14.9,-24.5,80.05,16.24
ovsyanka,40,RU,1567729056.0,54.0,53.58,126.91,61.33,2.39
vilyuysk,62,RU,1567729057.0,76.0,63.75,121.63,46.39,5.44
pervomayskoye,0,RU,1567729057.0,95.0,57.07,86.23,42.61,5.79
nadvoitsy,90,RU,1567729057.0,90.0,63.89,34.27,55.03,9.4
messina,20,IT,1567728788.0,83.0,38.19,15.55,77.0,3.36
pokrovsk,87,RU,1567729057.0,91.0,61.48,129.14,50.89,2.15
birjand,0,IR,1567729023.0,24.0,32.86,59.22,68.0,13.87
itupiranga,0,BR,1567729058.0,62.0,-5.13,-49.33,86.0,3.36
cartagena,20,ES,1567729058.0,73.0,37.63,-1.0,77.0,5.82
neuquen,0,AR,1567729058.0,45.0,-38.95,-68.06,46.4,13.87
tiznit,0,MA,1567729059.0,86.0,29.7,-9.73,67.45,2.21
vrangel,100,RU,1567729059.0,94.0,42.73,133.08,69.25,2.68
hakkari,0,FI,1567729059.0,93.0,61.34,23.75,55.0,6.93
dalvik,0,SE,1567729060.0,100.0,57.79,14.13,50.0,6.93
lingyuan,0,CN,1567729060.0,43.0,41.24,119.4,70.69,1.3
mortka,56,RU,1567729060.0,95.0,59.33,66.02,44.23,4.07
qianan,0,CN,1567729060.0,78.0,44.99,124.06,71.95,5.84
klaksvik,100,FO,1567729061.0,93.0,62.23,-6.59,48.2,1.12
bambous virieux,20,MU,1567729061.0,88.0,-20.34,57.76,68.0,4.85
chabahar,47,IR,1567729061.0,82.0,25.29,60.65,80.59,4.74
west helena,12,US,1567729061.0,78.0,34.55,-90.64,87.8,4.7
kailua,1,US,1567729061.0,52.0,21.39,-157.74,91.4,20.8
kavieng,34,PG,1567729062.0,78.0,-2.57,150.8,81.85,16.4
ossora,100,RU,1567729062.0,90.0,59.24,163.07,48.73,4.23
grand gaube,20,MU,1567729062.0,88.0,-20.01,57.66,68.0,10.2
sundsvall,0,SE,1567729062.0,100.0,62.39,17.31,48.99,3.36
karratha,0,AU,1567729063.0,32.0,-20.74,116.85,66.73,2.55
sept-iles,20,CA,1567729045.0,50.0,50.2,-66.38,53.6,6.93
freeport,1,BS,1567728975.0,80.0,26.54,-78.7,84.37,19.04
tommot,99,RU,1567729064.0,96.0,58.97,126.27,46.93,2.59
casa nova,4,BR,1567729064.0,34.0,-16.03,-44.16,73.93,10.6
pemba,10,MZ,1567729064.0,86.0,-12.97,40.52,74.47,9.86
princeton,1,US,1567728876.0,56.0,40.35,-74.66,71.6,4.7
kodiak,1,US,1567729064.0,70.0,39.95,-94.76,87.01,6.93
dilla,100,ET,1567729065.0,67.0,6.41,38.31,73.39,6.46
aykhal,90,RU,1567729065.0,100.0,65.95,111.51,33.8,6.71
deputatskiy,64,RU,1567729065.0,63.0,69.3,139.9,42.61,3.04
vertientes,75,CU,1567729066.0,74.0,21.26,-78.15,86.0,10.29
